code;name;registration_code;registration_sub_code;registration_name
100;ГЕРБ СДС;32;0;ГЕРБ СДС
105;ДПС;17;0;ДВИЖЕНИЕ ЗА ПРАВА И СВОБОДИ ДПС
110;БСП;33;0;БСП ЗА БЪЛГАРИЯ
115;ИМА ТАКЪВ НАРОД;24;0;ИМА ТАКЪВ НАРОД
120;ВЪЗРАЖДАНЕ;5;0;ВЪЗРАЖДАНЕ
135;ДБ;30;0;ДЕМОКРАТИЧНА БЪЛГАРИЯ ОБЕДИНЕНИЕ ДА БЪЛГАРИЯ ДСБ ЗЕЛЕНО ДВИЖЕНИЕ
145;ИЗПРАВИ СЕ БГ;31;0;ИЗПРАВИ СЕ БГ НИЕ ИДВАМЕ
155;ВМРО;21;0;ВМРО БЪЛГАРСКО НАЦИОНАЛНО ДВИЖЕНИЕ
160;ПРОДЪЛЖАВАМЕ ПРОМЯНАТА;25;0;ПРОДЪЛЖАВАМЕ ПРОМЯНАТА
170;НФСБ;4;0;ПАТРИОТИЧЕН ФРОНТ НФСБ БДС РАДИКАЛИ И БНДС ЦЕЛОКУПНА БЪЛГАРИЯ
175;БНО;22;0;БНО
190;РУСОФИЛИ И КОМУНИСТИ;34;0;БЪЛГАРСКА ПРОГРЕСИВНА ЛИНИЯ
190;РУСОФИЛИ И КОМУНИСТИ;2;0;РУСОФИЛИ ЗА ВЪЗРАЖДАНЕ НА ОТЕЧЕСТВОТО
205;ПАРТИЯ НА ЗЕЛЕНИТЕ;35;0;ПАРТИЯ НА ЗЕЛЕНИТЕ
210;АТАКА;11;0;АТАКА
220;ГЛАС НАРОДЕН;14;0;ГЛАС НАРОДЕН
225;ПРЯКА ДЕМОКРАЦИЯ;29;0;ПРЯКА ДЕМОКРАЦИЯ
235;КОД;7;0;НАЦИОНАЛНО ОБЕДИНЕНИЕ НА ДЕСНИЦАТА
240;ЕВРОЛЕВИЦА;10;0;БЪЛГАРСКА СОЦИАЛДЕМОКРАЦИЯ ЕВРОЛЕВИЦА
245;БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ;28;0;БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ НД
260;БСДД;8;0;БСДД БЪЛГАРСКИ СЪЮЗ ЗА ДИРЕКТНА ДЕМОКРАЦИЯ
265;ОБЩЕСТВО ЗА НОВА БЪЛГАРИЯ;13;0;ОБЩЕСТВО ЗА НОВА БЪЛГАРИЯ
270;МИР;26;0;ПАРТИЯ МИР
275;ПРАВОТО;20;0;ПРАВОТО
320;БЛАГОДЕНСТВИЕ ОБЕДИНЕНИЕ ГРАДИВНОСТ;27;0;БЛАГОДЕНСТВИЕ ОБЕДИНЕНИЕ ГРАДИВНОСТ
340;БРИГАДА;36;0;БРИГАДА
350;ВОЛЯ;23;0;ВОЛЯ
710;ДАВИД ЛЕОН ЛЕВИ;37;24;ДАВИД ЛЕОН ЛЕВИ
725;ПЕТЪР КОНСТАНТИНОВ НИЗАМОВ;37;2;ПЕТЪР КОНСТАНТИНОВ НИЗАМОВ
999;НЕ ПОДКРЕПЯМ НИКОГО;99;0;НЕ ПОДКРЕПЯМ НИКОГО
