section_id;registered_voters
010100001;610
010100002;543
010100003;516
010100004;596
010100005;485
010100006;475
010100007;561
010100008;495
010100009;594
010100010;667
010100011;668
010100012;652
010100013;810
010100014;652
010100015;604
010100016;447
010100017;603
010100018;28
010100019;41
010100020;72
010100021;130
010100022;192
010100023;511
010200001;592
010200002;810
010200003;710
010200004;572
010200005;622
010200006;735
010200007;710
010200008;650
010200009;952
010200011;165
010200012;601
010200013;30
010200014;192
010200015;166
010200016;205
010200017;127
010200018;67
010300001;578
010300002;351
010300003;478
010300004;547
010300005;616
010300006;606
010300007;619
010300008;672
010300009;694
010300010;707
010300011;591
010300012;583
010300013;581
010300014;545
010300015;582
010300016;582
010300017;521
010300018;603
010300019;535
010300020;552
010300021;376
010300022;530
010300023;592
010300024;519
010300025;594
010300026;717
010300027;656
010300028;611
010300029;601
010300030;687
010300031;656
010300032;322
010300033;785
010300034;629
010300035;576
010300036;681
010300037;653
010300038;470
010300039;562
010300040;724
010300041;657
010300042;616
010300043;704
010300044;452
010300045;426
010300046;613
010300047;645
010300048;631
010300049;606
010300050;447
010300051;624
010300052;418
010300053;562
010300054;590
010300055;535
010300056;584
010300057;624
010300058;613
010300059;618
010300060;575
010300061;510
010300062;455
010300063;472
010300064;602
010300065;468
010300066;529
010300067;575
010300068;548
010300069;588
010300070;625
010300071;593
010300072;531
010300073;555
010300074;551
010300075;585
010300076;412
010300077;610
010300078;543
010300079;540
010300080;494
010300081;450
010300082;595
010300083;590
010300084;613
010300085;509
010300086;533
010300087;512
010300088;605
010300089;558
010300090;549
010300091;470
010300092;606
010300093;635
010300094;524
010300095;717
010300096;902
010300097;405
010300098;622
010300099;558
010300100;658
010300101;529
010300102;558
010300103;366
010300104;708
010300105;498
010300106;391
010300107;394
010300108;562
010300109;496
010300110;439
010300111;583
010300112;654
010300113;561
010300114;520
010300115;573
010300116;555
010300117;513
010300118;60
010300119;644
010300120;602
010300121;2811
010300122;24
010300123;453
010300124;560
010300125;707
010300126;51
010300127;1092
010300128;819
010300129;9978
010300130;1159
010300131;593
010300132;200
010300133;759
010300134;142
010300135;287
010300136;67
010300137;4930
010300138;70
010300139;467
011100001;936
011100002;872
011100003;925
011100004;711
011100005;673
011100006;759
011100007;539
011100008;825
011100009;703
011100010;588
011100011;621
011100012;772
011100013;705
011100014;853
011100015;851
011100016;800
011100017;953
011100018;992
011100019;1096
011100020;699
011100021;846
011100022;839
011100024;644
011100025;613
011100026;469
011100027;463
011100028;431
011100029;473
011100030;385
011100031;853
011100032;732
011100033;680
011100034;815
011100035;809
011100036;544
011100037;592
011100038;712
011100039;820
011100040;724
011100041;23
011100042;30
011300001;800
011300002;713
011300003;153
011300004;858
011300005;763
011300006;649
011300007;612
011300008;1008
011300010;903
011300011;817
011300012;51
011300013;209
011300014;120
011300015;660
011300016;735
011300017;180
011300018;451
011300019;896
011300020;736
011300021;701
011300022;230
011300023;1017
012800001;581
012800002;598
012800003;528
012800004;598
012800005;606
012800006;382
012800007;508
012800008;475
012800009;59
012800010;71
013300001;887
013300002;850
013300003;930
013300004;920
013300005;949
013300006;872
013300007;890
013300008;911
013300009;918
013300010;990
013300011;986
013300012;1009
013300013;875
013300014;883
013300015;930
013300016;905
013300017;875
013300018;961
013300019;949
013300020;1047
013300021;992
013300022;990
013300023;795
013300024;813
013300025;934
013300026;958
013300027;974
013300028;946
013300029;806
013300030;887
013300031;757
013300032;861
013300033;926
013300034;892
013300035;937
013300036;797
013300037;428
013300038;584
013300039;344
013300040;218
013300041;495
013300042;548
013300043;102
013300044;129
013300045;114
013300046;558
013300047;635
013300048;90
013300049;262
013300050;169
013300051;823
013300052;607
013300053;426
013300054;401
013300055;454
013300056;443
013300057;435
013300058;112
013300059;620
013300060;602
013300061;584
013300062;569
013300063;579
013300064;701
013300065;545
013300066;327
013300067;114
013300068;81
013300069;38
013300070;140
013300071;199
013300072;126
013300073;323
013300074;81
013300075;76
013300076;38
013300077;98
013300078;82
013300079;503
013300080;482
013300081;588
013300082;561
013300083;555
013300084;745
013300085;246
013300086;846
013300087;835
013300088;747
013300089;467
013300090;808
013700001;646
013700002;613
013700003;700
013700004;711
013700005;628
013700006;664
013700007;558
013700008;719
013700009;694
013700010;759
013700011;538
013700012;664
013700013;516
013700014;602
013700015;768
013700016;684
013700017;643
013700018;662
013700019;420
013700020;806
013700021;749
013700022;781
013700023;517
013700024;757
013700025;489
013700026;592
013700027;511
014000001;779
014000002;747
014000003;814
014000004;865
014000005;787
014000006;861
014000007;821
014000008;694
014000009;443
014000010;492
014000011;788
014000012;732
014000013;855
014000014;834
014000015;685
014000016;799
014000017;772
014000018;895
014000019;832
014000020;803
014000021;704
014000022;519
014000023;717
014000024;612
014000025;895
014000026;846
014000027;914
014000028;931
014000029;948
014000030;959
014000031;946
014000032;520
014000033;311
014000034;491
014000035;329
014000036;227
014000037;54
014000038;577
014000039;441
014000040;580
014000041;630
014000042;449
014000043;554
014000044;511
014000045;396
014000046;657
014000047;486
014000048;173
014000049;30
014000050;78
014000051;77
014000052;55
014000053;70
014000054;46
014000055;156
014000056;547
014000057;182
014000058;79
014000059;591
014000060;468
014000061;99
014000062;394
014000063;158
014000064;61
014000065;134
014000066;35
014000067;76
014000068;42
014200001;384
014200002;527
014200003;517
014200004;724
014200005;759
014200006;731
014200007;762
014200008;312
014200009;299
014200010;889
014200011;849
014200012;994
014200013;329
014200014;505
014200015;822
014200016;745
014200017;987
014200018;946
014200019;914
014200020;926
014200021;726
014200022;386
014400001;640
014400002;725
014400003;566
014400004;851
014400005;764
014400006;628
014400007;703
014400008;605
014400009;571
014400010;302
014400011;347
014400012;828
014400013;404
014400014;135
014400015;263
014400016;29
014400017;673
014400018;649
014400019;515
014400020;28
014400021;612
014400022;556
014400023;85
014400024;20
014400025;504
014400026;389
014900001;347
014900002;363
014900003;386
014900004;321
014900005;524
014900006;510
014900007;302
014900008;325
014900009;36
014900010;142
014900011;145
014900012;62
014900013;254
014900014;65
014900015;119
014900016;119
014900017;109
015200001;726
015200002;740
015200003;804
015200004;636
015200005;148
015200006;388
015200007;619
015200008;320
015200009;46
015200010;49
015200011;640
015200012;451
015200013;861
015200014;741
015200015;706
015200016;62
015200017;27
015200018;122
015200019;339
015300001;708
015300002;472
015300003;611
015300004;822
015300005;651
015300006;676
015300007;686
015300008;583
015300009;452
015300010;437
015300011;790
015300013;371
015300014;341
015300015;927
020100001;791
020100002;610
020100003;887
020100004;376
020100005;457
020100006;610
020100007;408
020100008;502
020100009;797
020100010;508
020100011;429
020100012;588
020100013;621
020100014;481
020100015;393
020100016;701
020100017;634
020100018;708
020100019;504
020100020;803
020100021;796
020100022;567
020100023;618
020100024;748
020100025;685
020100026;644
020100027;592
020100028;735
020100029;851
020100030;803
020100031;132
020100032;242
020100033;483
020100034;703
020100035;333
020100036;1216
020100037;172
020100038;745
020100039;393
020100040;506
020100041;1376
020100042;393
020100043;531
020100044;529
020100045;124
020100046;833
020100047;10
020400001;584
020400002;569
020400003;580
020400004;504
020400005;597
020400006;554
020400007;574
020400008;543
020400009;631
020400010;601
020400011;626
020400012;565
020400013;590
020400014;574
020400015;638
020400016;584
020400017;579
020400018;539
020400019;589
020400020;435
020400021;590
020400022;494
020400023;473
020400024;512
020400025;426
020400026;498
020400027;403
020400028;528
020400029;545
020400030;550
020400031;599
020400032;569
020400033;387
020400034;506
020400035;449
020400036;471
020400037;546
020400038;551
020400039;508
020400040;381
020400041;471
020400042;566
020400043;506
020400044;520
020400045;472
020400046;527
020400047;552
020400048;578
020400049;554
020400050;571
020400051;621
020400052;587
020400053;637
020400054;547
020400055;648
020400056;596
020400057;574
020400058;547
020400059;538
020400060;569
020400061;625
020400062;617
020400063;583
020400064;498
020400065;536
020400066;571
020400067;477
020400068;385
020400069;439
020400070;474
020400071;550
020400072;367
020400073;364
020400074;381
020400075;328
020400076;681
020400077;627
020400078;709
020400079;529
020400080;631
020400081;500
020400082;486
020400083;803
020400084;626
020400085;503
020400086;468
020400087;156
020400088;572
020400089;563
020400090;608
020400091;511
020400092;527
020400093;599
020400094;554
020400095;578
020400096;524
020400097;579
020400098;674
020400099;514
020400100;535
020400101;585
020400102;580
020400103;523
020400104;456
020400105;466
020400106;590
020400107;564
020400108;648
020400109;586
020400110;476
020400111;485
020400112;544
020400113;454
020400114;477
020400115;612
020400116;552
020400117;492
020400118;507
020400119;573
020400120;541
020400121;463
020400122;599
020400123;585
020400124;509
020400125;531
020400126;545
020400127;542
020400128;510
020400129;584
020400130;568
020400131;604
020400132;607
020400133;659
020400134;618
020400135;632
020400136;596
020400137;561
020400138;595
020400139;676
020400140;662
020400141;667
020400142;556
020400143;609
020400144;612
020400145;560
020400146;825
020400147;613
020400148;607
020400149;637
020400150;577
020400151;564
020400152;577
020400153;520
020400154;531
020400155;587
020400156;568
020400157;564
020400158;614
020400159;551
020400160;625
020400161;599
020400162;559
020400163;576
020400164;487
020400165;541
020400166;579
020400167;573
020400168;516
020400169;488
020400170;501
020400171;549
020400172;540
020400173;575
020400174;469
020400175;456
020400176;570
020400177;615
020400178;601
020400179;589
020400180;584
020400181;584
020400182;498
020400183;472
020400184;516
020400185;545
020400186;609
020400187;561
020400188;530
020400189;580
020400190;583
020400191;562
020400192;581
020400193;533
020400194;522
020400195;583
020400196;503
020400197;490
020400198;519
020400199;584
020400200;560
020400201;445
020400202;656
020400203;676
020400204;627
020400205;208
020400206;558
020400207;525
020400208;543
020400209;453
020400210;532
020400211;611
020400212;526
020400213;601
020400214;535
020400215;515
020400216;552
020400217;556
020400218;549
020400219;648
020400220;515
020400221;496
020400222;590
020400223;533
020400224;603
020400225;453
020400226;536
020400227;742
020400228;591
020400229;773
020400230;548
020400231;592
020400232;587
