section_id;party;votes
010100001;1;2
010100001;2;0
010100001;3;0
010100001;4;2
010100001;5;1
010100001;6;1
010100001;7;2
010100001;8;1
010100001;9;72
010100001;10;0
010100001;11;1
010100001;12;0
010100001;13;0
010100001;14;30
010100001;15;22
010100001;16;0
010100001;17;2
010100001;18;1
010100001;19;10
010100001;20;0
010100001;22;0
010100001;24;84
010100001;25;14
010100001;26;0
010100001;27;1
010100001;28;38
010100001;29;1
010100001;99;20
010100002;1;1
010100002;2;1
010100002;3;0
010100002;4;1
010100002;5;2
010100002;6;0
010100002;7;1
010100002;8;0
010100002;9;70
010100002;10;0
010100002;11;1
010100002;12;0
010100002;13;1
010100002;14;21
010100002;15;15
010100002;16;1
010100002;17;4
010100002;18;2
010100002;19;11
010100002;20;1
010100002;22;0
010100002;24;82
010100002;25;9
010100002;26;2
010100002;27;0
010100002;28;40
010100002;29;2
010100002;99;16
010100003;1;0
010100003;2;0
010100003;3;0
010100003;4;0
010100003;5;1
010100003;6;0
010100003;7;0
010100003;8;0
010100003;9;41
010100003;10;0
010100003;11;2
010100003;12;2
010100003;13;0
010100003;14;22
010100003;15;13
010100003;16;0
010100003;17;2
010100003;18;0
010100003;19;5
010100003;20;0
010100003;22;0
010100003;24;85
010100003;25;6
010100003;26;0
010100003;27;0
010100003;28;30
010100003;29;0
010100003;99;15
010100004;1;1
010100004;2;0
010100004;3;0
010100004;4;0
010100004;5;1
010100004;6;0
010100004;7;0
010100004;8;1
010100004;9;57
010100004;10;0
010100004;11;0
010100004;12;0
010100004;13;0
010100004;14;21
010100004;15;8
010100004;16;0
010100004;17;0
010100004;18;1
010100004;19;4
010100004;20;1
010100004;22;0
010100004;24;114
010100004;25;24
010100004;26;1
010100004;27;0
010100004;28;45
010100004;29;0
010100004;99;20
010100005;1;1
010100005;2;0
010100005;3;0
010100005;4;0
010100005;5;2
010100005;6;1
010100005;7;2
010100005;8;1
010100005;9;46
010100005;10;0
010100005;11;0
010100005;12;0
010100005;13;0
010100005;14;19
010100005;15;13
010100005;16;0
010100005;17;5
010100005;18;2
010100005;19;2
010100005;20;2
010100005;22;1
010100005;24;84
010100005;25;15
010100005;26;1
010100005;27;0
010100005;28;46
010100005;29;1
010100005;99;15
010100006;1;0
010100006;2;1
010100006;3;2
010100006;4;0
010100006;5;1
010100006;6;4
010100006;7;1
010100006;8;0
010100006;9;44
010100006;10;2
010100006;11;0
010100006;12;0
010100006;13;1
010100006;14;16
010100006;15;31
010100006;16;0
010100006;17;1
010100006;18;2
010100006;19;10
010100006;20;0
010100006;22;0
