code;name;registration_code;registration_name
330;ДОСТ;1;ДОСТ
220;ГЛАС НАРОДЕН;2;ГЛАС НАРОДЕН
190;РУСОФИЛИ И КОМУНИСТИ;3;СОЦИАЛИСТИЧЕСКА ПАРТИЯ БЪЛГАРСКИ ПЪТ
150;ВЕЛИЧИЕ;4;ВЕЛИЧИЕ
345;БУЛГАРИ;5;БУЛГАРИ
240;ЕВРОЛЕВИЦА;6;МОЯ СТРАНА БЪЛГАРИЯ
115;ИМА ТАКЪВ НАРОД;7;ИМА ТАКЪВ НАРОД
130;ДПС НОВО НАЧАЛО;8;ДПС НОВО НАЧАЛО
340;БРИГАДА;9;БРИГАДА
205;ПАРТИЯ НА ЗЕЛЕНИТЕ;10;ПАРТИЯ НА ЗЕЛЕНИТЕ
275;ПРАВОТО;11;ПРАВОТО
120;ВЪЗРАЖДАНЕ;12;ВЪЗРАЖДАНЕ
140;АПС;13;АЛИАНС ЗА ПРАВА И СВОБОДИ АПС
245;БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ;14;БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ НД
260;БСДД;15;БСДД ДИРЕКТНА ДЕМОКРАЦИЯ
200;СИНЯ БЪЛГАРИЯ;16;СИНЯ БЪЛГАРИЯ
165;МЕЧ;17;МЕЧ
100;ГЕРБ СДС;18;ГЕРБ СДС
210;АТАКА;19;АТАКА
250;ИСТИНАТА И САМО ИСТИНАТА;20;НАРОДНА ПАРТИЯ ИСТИНАТА И САМО ИСТИНАТА
225;ПРЯКА ДЕМОКРАЦИЯ;21;ПРЯКА ДЕМОКРАЦИЯ
185;РЕПУБЛИКАНЦИ ЗА БЪЛГАРИЯ;22;КП СВОБОДНИ ИЗБИРАТЕЛИ РБ ССД И ЗС
325;БЪЛГАРИЯ НА ТРУДА И РАЗУМА;23;БТР БЪЛГАРИЯ НА ТРУДА И РАЗУМА
255;КОЙ;24;КОЙ
190;РУСОФИЛИ И КОМУНИСТИ;25;КП РУСОФИЛИ ЗА БЪЛГАРИЯ
125;ППДБ;26;КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА ДЕМОКРАТИЧНА БЪЛГАРИЯ
180;БЪЛГАРСКИ ВЪЗХОД;27;БЪЛГАРСКИ ВЪЗХОД
110;БСП;28;БСП ОБЕДИНЕНА ЛЕВИЦА
999;НЕ ПОДКРЕПЯМ НИКОГО;99;НЕ ПОДКРЕПЯМ НИКОГО
