section_id;rik_code;rik_name;municipality_code;municipality;ekatte;postal_code;city;address;is_mobile;is_on_ship;machines_count;failed_machines_count;longitude;latitude
010100001;01;Благоевград;0101;Банско;2676;2770;гр.Банско;ГР. БАНСКО, СОУ НЕОФИТ РИЛСКИ, УЛ. ТОДОР АЛЕКСАНДРОВ №9Б;0;0;1;0;23.4883022;41.8403358
010100002;01;Благоевград;0101;Банско;2676;2770;гр.Банско;ГР. БАНСКО, ПЛТГ Н. ВАПЦАРОВ (ГОРСКИ ТЕХНИКУМ), УЛ. БЪЛГАРИЯ №31;0;0;1;0;23.4914809;41.8383726
010100003;01;Благоевград;0101;Банско;2676;2770;гр.Банско;ГР. БАНСКО, ПЛТГ Н. ВАПЦАРОВ (ГОРСКИ ТЕХНИКУМ), УЛ. БЪЛГАРИЯ №31;0;0;1;0;23.4914809;41.8383726
010100004;01;Благоевград;0101;Банско;2676;2770;гр.Банско;ГР. БАНСКО, КЛУБ НА ПЕНСИОНЕРА, ул. ЦАР СИМЕОН №54;0;0;1;0;23.4901954;41.8372964
010100005;01;Благоевград;0101;Банско;2676;2770;гр.Банско;ГР. БАНСКО, ЧИТАЛИЩЕ НИКОЛА ВАПЦАРОВ, ПЛ. НИКОЛА ВАПЦАРОВ №14;0;0;1;0;23.4876308;41.8365763
010100006;01;Благоевград;0101;Банско;2676;2770;гр.Банско;ГР. БАНСКО, НАЧАЛНО УЧИЛИЩЕ СВ. ПАИСИЙ ХИЛИНДАРСКИ, ПЛ. ВЪЗРАЖДАНЕ №3;0;0;1;0;23.485653;41.8404241
010100007;01;Благоевград;0101;Банско;2676;2770;гр.Банско;ГР. БАНСКО, НАЧАЛНО УЧИЛИЩЕ СВ. ПАИСИЙ ХИЛИНДАРСКИ, ПЛ. ВЪЗРАЖДАНЕ №3;0;0;1;0;23.485653;41.8404241
010100008;01;Благоевград;0101;Банско;2676;2770;гр.Банско;ГР. БАНСКО, ПЛТГ Н. ВАПЦАРОВ (ГОРСКИ ТЕХНИКУМ), УЛ. БЪЛГАРИЯ №31;0;0;1;0;23.4914809;41.8383726
010100009;01;Благоевград;0101;Банско;2676;2770;гр.Банско;ГР. БАНСКО, ПЛТГ Н. ВАПЦАРОВ (ГОРСКИ ТЕХНИКУМ), УЛ. БЪЛГАРИЯ №31;0;0;1;0;23.4914809;41.8383726
010100010;01;Благоевград;0101;Банско;2676;2770;гр.Банско;ГР. БАНСКО, НАЧАЛНО УЧИЛИЩЕ СВ. ПАИСИЙ ХИЛИНДАРСКИ, ПЛ. ВЪЗРАЖДАНЕ №3;0;0;1;0;23.485653;41.8404241
010100011;01;Благоевград;0101;Банско;2676;2770;гр.Банско;ГР. БАНСКО, СОУ НЕОФИТ РИЛСКИ, УЛ. ТОДОР АЛЕКСАНДРОВ №9Б;0;0;1;0;23.4883022;41.8403358
010100012;01;Благоевград;0101;Банско;2676;2770;гр.Банско;ГР. БАНСКО, СОУ НЕОФИТ РИЛСКИ, УЛ. ТОДОР АЛЕКСАНДРОВ №9Б;0;0;1;0;23.4883022;41.8403358
010100013;01;Благоевград;0101;Банско;2676;2770;гр.Банско;ГР. БАНСКО, НАЧАЛНО УЧИЛИЩЕ СВ. ПАИСИЙ ХИЛИНДАРСКИ, ПЛ. ВЪЗРАЖДАНЕ №3;0;0;1;0;23.485653;41.8404241
010100014;01;Благоевград;0101;Банско;21498;2777;гр.Добринище;ГР. ДОБРИНИЩЕ, ЧИТАЛИЩЕ ДИМИТЪР БЛАГОЕВ, ПЛ. НЕЗАВИСИМОСТ №2;0;0;1;0;23.5587295;41.8213139
010100015;01;Благоевград;0101;Банско;21498;2777;гр.Добринище;ГР. ДОБРИНИЩЕ, ОСНОВНО УЧИЛИЩЕ СВ. КЛИМЕНТ ОХРИДСКИ, УЛ. ИВАН ГАЛЧЕВ №21;0;0;1;0;23.5642932;41.8201537
010100016;01;Благоевград;0101;Банско;21498;2777;гр.Добринище;ГР. ДОБРИНИЩЕ, ОСНОВНО УЧИЛИЩЕ СВ. КЛИМЕНТ ОХРИДСКИ, УЛ. ИВАН ГАЛЧЕВ №21;0;0;1;0;23.5642932;41.8201537
010100017;01;Благоевград;0101;Банско;21498;2777;гр.Добринище;ГР. ДОБРИНИЩЕ, КЛУБ НА ПЕНСИОНЕРА, УЛ. ТЪРГОВСКА №16;0;0;1;0;23.5642739;41.8212564
010100018;01;Благоевград;0101;Банско;17381;2773;с.Гостун;С. ГОСТУН, КЛУБ НА ПЕНСИОНЕРА;0;0;0;0;23.6904144;41.7973236
010100019;01;Благоевград;0101;Банско;54136;2774;с.Осеново;С. ОСЕНОВО, КЛУБ НА ПЕНСИОНЕРА;0;0;0;0;23.7255262;41.778439
010100020;01;Благоевград;0101;Банско;53059;2776;с.Обидим;С. ОБИДИМ, КЛУБ НА ПЕНСИОНЕРА;0;0;0;0;23.6406848;41.787535
010100021;01;Благоевград;0101;Банско;39614;2771;с.Кремен;С. КРЕМЕН, КЛУБ НА ПЕНСИОНЕРА;0;0;0;0;23.6384692;41.7449665
010100022;01;Благоевград;0101;Банско;47857;2772;с.Места;С. МЕСТА, КЛУБ НА ПЕНСИОНЕРА;0;0;0;0;23.6710502;41.76304820000001
010100023;01;Благоевград;0101;Банско;76090;2775;с.Филипово;С. ФИЛИПОВО, КЛУБ НА ПЕНСИОНЕРА;0;0;1;0;23.6827936;41.7638712
010200001;01;Благоевград;0102;Белица;3504;2780;гр.Белица;ГР. БЕЛИЦА, ГИМНАЗИЯ Н. Й. ВАПЦАРОВ, УЛ. ДИМО ХАДЖИДИМОВ;0;0;1;0;23.5592214;41.9507744
010200002;01;Благоевград;0102;Белица;3504;2780;гр.Белица;ГР. БЕЛИЦА, ГИМНАЗИЯ Н. Й. ВАПЦАРОВ, УЛ. ДИМО ХАДЖИДИМОВ;0;0;1;0;23.5592214;41.9507744
010200003;01;Благоевград;0102;Белица;3504;2780;гр.Белица;ГР. БЕЛИЦА, ИНФОРМАЦИОНЕН ЦЕНТЪР, УЛ. ГЕОРГИ АНДРЕЙЧИН №11;0;0;1;0;23.5587856;41.9502544
010200004;01;Благоевград;0102;Белица;3504;2780;гр.Белица;ГР. БЕЛИЦА, СОЦИАЛЕН ПАТРОНАЖ, УЛ. ВЛАДИМИР ПОПТОМОВ;0;0;1;0;23.5627182;41.948201
010200005;01;Благоевград;0102;Белица;20064;2779;с.Дагоново;С. ДАГОНОВО, УЧИЛИЩЕ;0;0;1;0;23.5952654;41.9543764
010200006;01;Благоевград;0102;Белица;39270;2781;с.Краище;С. КРАИЩЕ, ДЕТСКА ГРАДИНА, УЛ. ЕДИНАДЕСЕТА №18;0;0;1;0;23.5875784;41.9174565
010200007;01;Благоевград;0102;Белица;39270;2781;с.Краище;С. КРАИЩЕ, МАГ. БИМБ. МАХАЛА-БАРАКИТЕ, УЛ. ДВАДЕСЕТ И ПЪРВА №4;0;0;1;1;23.5875784;41.9174565
010200008;01;Благоевград;0102;Белица;39270;2781;с.Краище;С. КРАИЩЕ, ДЕТСКА ГРАДИНА, УЛ. ЕДИНАДЕСЕТА №18;0;0;1;0;23.5875784;41.9174565
010200009;01;Благоевград;0102;Белица;77596;2783;с.Горно Краище;С. ГОРНО КРАИЩЕ, УЧИЛИЩЕ;0;0;1;0;23.5897981;41.9007099
010200010;01;Благоевград;0102;Белица;44762;2791;с.Лютово;С. ЛЮТОВО, КМЕТСТВО;0;0;0;0;23.6318549;41.946486
010200011;01;Благоевград;0102;Белица;2107;2784;с.Бабяк;С. БАБЯК, УЧИЛИЩЕ;0;0;1;0;23.6815272;41.9552065
010200012;01;Благоевград;0102;Белица;15638;2784;с.Гълъбово;С. ГЪЛЪБОВО, УЧИЛИЩЕ;0;0;0;0;23.6509826;41.9771168
010200013;01;Благоевград;0102;Белица;40453;2788;с.Кузьово;С. КУЗЬОВО, КМЕТСТВО;0;0;0;0;23.6563354;41.9386585
010200014;01;Благоевград;0102;Белица;59330;2782;с.Палатик;С. ПАЛАТИК, УЧИЛИЩЕ;0;0;0;0;23.6716827;41.9110582
010200015;01;Благоевград;0102;Белица;80649;2787;с.Черешово;С. ЧЕРЕШОВО, УЧИЛИЩЕ;0;0;0;0;23.7085613;41.9491075
010200016;01;Благоевград;0102;Белица;53998;2785;с.Орцево;С. ОРЦЕВО, КМЕТСТВО;0;0;0;0;23.7376959;41.9669224
010200017;01;Благоевград;0102;Белица;14521;2783;с.Златарица;С. ЗЛАТАРИЦА, КМЕТСТВО;0;0;0;0;23.7557994;41.9221114
010200018;01;Благоевград;0102;Белица;3504;2780;гр.Белица;с. Горно Краище и останалите населени места на територията на Община Белица ПОДВИЖНА ИЗБИРАТЕЛНА КОМИСИЯ;1;0;0;0;23.5592214;41.9507744
010200019;01;Благоевград;0102;Белица;3504;2780;гр.Белица;с. Бабяк, с. Краище ПОДВИЖНА ИЗБИРАТЕЛНА КОМИСИЯ;1;0;0;0;23.5592214;41.9507744
010300001;01;Благоевград;0103;Благоевград;4279;2700;гр.Благоевград;ГР. БЛАГОЕВГРАД, ЦЕНТЪР ЗА ЛИЧНОСТНО И ТВОРЧЕСКО РАЗВИТИЕ НА ДЕЦАТА, УЛ. БИСТРИЦА №001;0;0;1;0;23.1034689;42.0210956
010300002;01;Благоевград;0103;Благоевград;4279;2700;гр.Благоевград;ГР. БЛАГОЕВГРАД, ЦЕНТЪР ЗА ЛИЧНОСТНО И ТВОРЧЕСКО РАЗВИТИЕ НА ДЕЦАТА, УЛ. БИСТРИЦА №001;0;0;1;0;23.1034689;42.0210956
010300003;01;Благоевград;0103;Благоевград;4279;2700;гр.Благоевград;ГР. БЛАГОЕВГРАД, СУИЧЕ СВ. КЛИМЕНТ ОХРИДСКИ, УЛ. БРЕГАЛНИЦА №002;0;0;1;0;23.10069;42.01758
010300004;01;Благоевград;0103;Благоевград;4279;2700;гр.Благоевград;ГР. БЛАГОЕВГРАД, СУИЧЕ СВ. КЛИМЕНТ ОХРИДСКИ, УЛ. БРЕГАЛНИЦА №002;0;0;1;0;23.10069;42.01758
010300005;01;Благоевград;0103;Благоевград;4279;2700;гр.Благоевград;ГР. БЛАГОЕВГРАД, СУИЧЕ СВ. КЛИМЕНТ ОХРИДСКИ, УЛ. БРЕГАЛНИЦА №002;0;0;1;0;23.10069;42.01758
