ekatte;postal_code;type;name;name_latin;municipality;municipality_latin;district;district_latin
14;2932;с.;Абланица;Ablanitsa;Хаджидимово;Hadzhidimovo;Благоевград;Blagoevgrad
28;5574;с.;Абланица;Ablanitsa;Ловеч;Lovech;Ловеч;Lovech
881;4645;с.;Абланица;Ablanitsa;Велинград;Velingrad;Пазарджик;Pazardzhik
31;9407;с.;Абрит;Abrit;Крушари;Krushari;Добрич;Dobrich
59;2795;с.;Аврамово;Avramovo;Якоруда;Yakoruda;Благоевград;Blagoevgrad
62;6797;с.;Аврамово;Avramovo;Ардино;Ardino;Кърджали;Kardzhali
84;9135;с.;Аврен;Avren;Аврен;Avren;Варна;Varna
93;6930;с.;Аврен;Avren;Крумовград;Krumovgrad;Кърджали;Kardzhali
103;5431;с.;Агатово;Agatovo;Севлиево;Sevlievo;Габрово;Gabrovo
117;5350;с.;Азманите;Azmanite;Трявна;Tryavna;Габрово;Gabrovo
895;7538;с.;Айдемир;Aydemir;Силистра;Silistra;Силистра;Silistra
148;6639;с.;Айрово;Ayrovo;Кърджали;Kardzhali;Кърджали;Kardzhali
151;8500;гр.;Айтос;Aytos;Айтос;Aytos;Бургас;Burgas
165;4483;с.;Аканджиево;Akandzhievo;Белово;Belovo;Пазарджик;Pazardzhik
179;3727;с.;Акациево;Akatsievo;Видин;Vidin;Видин;Vidin
182;9154;гр.;Аксаково;Aksakovo;Аксаково;Aksakovo;Варна;Varna
196;4984;с.;Аламовци;Alamovtsi;Златоград;Zlatograd;Смолян;Smolyan
206;6850;с.;Албанци;Albantsi;Джебел;Dzhebel;Кърджали;Kardzhali
215;7752;с.;Алваново;Alvanovo;Търговище;Targovishte;Търговище;Targovishte
223;2222;с.;Алдомировци;Aldomirovtsi;Сливница;Slivnitsa;София;Sofia
254;4411;с.;Алеко Константиново;Aleko Konstantinovo;Пазарджик;Pazardzhik;Пазарджик;Pazardzhik
237;5288;с.;Алеково;Alekovo;Свищов;Svishtov;Велико Търново;Veliko Tarnovo
240;7555;с.;Алеково;Alekovo;Алфатар;Alfatar;Силистра;Silistra
268;9404;с.;Александрия;Aleksandria;Крушари;Krushari;Добрич;Dobrich
271;8211;с.;Александрово;Aleksandrovo;Поморие;Pomorie;Бургас;Burgas
285;5289;с.;Александрово;Aleksandrovo;Свищов;Svishtov;Велико Търново;Veliko Tarnovo
299;5560;с.;Александрово;Aleksandrovo;Ловеч;Lovech;Ловеч;Lovech
309;6154;с.;Александрово;Aleksandrovo;Павел баня;Pavel banya;Стара Загора;Stara Zagora
312;7761;с.;Александрово;Aleksandrovo;Търговище;Targovishte;Търговище;Targovishte
326;6351;с.;Александрово;Aleksandrovo;Хасково;Haskovo;Хасково;Haskovo
330;9829;с.;Александрово;Aleksandrovo;Смядово;Smyadovo;Шумен;Shumen
343;8653;с.;Александрово;Aleksandrovo;Стралджа;Straldzha;Ямбол;Yambol
360;9565;с.;Александър Стамболийски;Aleksandar Stamboliyski;Генерал Тошево;General Toshevo;Добрич;Dobrich
83421;4621;с.;Алендарова;Alendarova;Велинград;Velingrad;Пазарджик;Pazardzhik
