municipality_code;municipality;municipality_latin;rik_code;rik_name
0101;Банско;Bansko;01;Благоевград
0102;Белица;Belitsa;01;Благоевград
0103;Благоевград;Blagoevgrad;01;Благоевград
0111;Гоце Делчев;Gotse Delchev;01;Благоевград
0113;Гърмен;Garmen;01;Благоевград
0128;Кресна;Kresna;01;Благоевград
0133;Петрич;Petrich;01;Благоевград
0137;Разлог;Razlog;01;Благоевград
0140;Сандански;Sandanski;01;Благоевград
0142;Сатовча;Satovcha;01;Благоевград
0144;Симитли;Simitli;01;Благоевград
0149;Струмяни;Strumyani;01;Благоевград
0152;Хаджидимово;Hadzhidimovo;01;Благоевград
0153;Якоруда;Yakoruda;01;Благоевград
0201;Айтос;Aytos;02;Бургас
0204;Бургас;Burgas;02;Бургас
0206;Средец;Sredets;02;Бургас
0208;Камено;Kameno;02;Бургас
0209;Карнобат;Karnobat;02;Бургас
0212;Малко Търново;Malko Tarnovo;02;Бургас
0213;Царево;Tsarevo;02;Бургас
0215;Несебър;Nesebar;02;Бургас
0217;Поморие;Pomorie;02;Бургас
0218;Руен;Ruen;02;Бургас
0221;Созопол;Sozopol;02;Бургас
0223;Сунгурларе;Sungurlare;02;Бургас
0227;Приморско;Primorsko;02;Бургас
0301;Аврен;Avren;03;Варна
0302;Аксаково;Aksakovo;03;Варна
0304;Белослав;Beloslav;03;Варна
0305;Бяла;Byala;03;Варна
0306;Варна;Varna;03;Варна
0308;Ветрино;Vetrino;03;Варна
0309;Вълчи дол;Valchi dol;03;Варна
0313;Долни чифлик;Dolni chiflik;03;Варна
0314;Девня;Devnya;03;Варна
0316;Дългопол;Dalgopol;03;Варна
0324;Провадия;Provadia;03;Варна
0326;Суворово;Suvorovo;03;Варна
0404;Велико Търново;Veliko Tarnovo;04;Велико Търново
0406;Горна Оряховица;Gorna Oryahovitsa;04;Велико Търново
0413;Елена;Elena;04;Велико Търново
0414;Златарица;Zlataritsa;04;Велико Търново
0420;Лясковец;Lyaskovets;04;Велико Търново
0422;Павликени;Pavlikeni;04;Велико Търново
0426;Полски Тръмбеш;Polski Trambesh;04;Велико Търново
0428;Свищов;Svishtov;04;Велико Търново
0431;Стражица;Strazhitsa;04;Велико Търново
0432;Сухиндол;Suhindol;04;Велико Търново
0501;Белоградчик;Belogradchik;05;Видин
0503;Бойница;Boynitsa;05;Видин
0506;Брегово;Bregovo;05;Видин
0509;Видин;Vidin;05;Видин
0515;Грамада;Gramada;05;Видин
0516;Димово;Dimovo;05;Видин
0522;Кула;Kula;05;Видин
0525;Макреш;Makresh;05;Видин
0530;Ново село;Novo selo;05;Видин
0533;Ружинци;Ruzhintsi;05;Видин
0537;Чупрене;Chuprene;05;Видин
0605;Борован;Borovan;06;Враца
0608;Бяла Слатина;Byala Slatina;06;Враца
0610;Враца;Vratsa;06;Враца
0620;Козлодуй;Kozloduy;06;Враца
0621;Криводол;Krivodol;06;Враца
0627;Мездра;Mezdra;06;Враца
0628;Мизия;Mizia;06;Враца
0631;Оряхово;Oryahovo;06;Враца
0632;Роман;Roman;06;Враца
0635;Хайредин;Hayredin;06;Враца
