code;name;mapping
100;ГЕРБ СДС;ГЕРБ СДС
105;ДПС;ДПС
105;ДПС;ДВИЖЕНИЕ ЗА ПРАВА И СВОБОДИ ДПС
110;БСП;БСП
110;БСП;БСП ЗА БЪЛГАРИЯ
110;БСП;БСП ОБЕДИНЕНА ЛЕВИЦА
110;БСП;ПОДЕМ
115;ИМА ТАКЪВ НАРОД;ИМА ТАКЪВ НАРОД
120;ВЪЗРАЖДАНЕ;ВЪЗРАЖДАНЕ
125;ППДБ;ППДБ
125;ППДБ;КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА ДЕМОКРАТИЧНА БЪЛГАРИЯ
130;ДПС НОВО НАЧАЛО;ДПС НОВО НАЧАЛО
135;ДБ;ДБ
135;ДБ;ДЕМОКРАТИЧНА БЪЛГАРИЯ ОБЕДИНЕНИЕ ДА БЪЛГАРИЯ ДСБ ЗЕЛЕНО ДВИЖЕНИЕ
140;АПС;АПС
140;АПС;АЛИАНС ЗА ПРАВА И СВОБОДИ АПС
145;ИЗПРАВИ СЕ БГ;ИЗПРАВИ СЕ БГ
145;ИЗПРАВИ СЕ БГ;ИЗПРАВИ СЕ БГ НИЕ ИДВАМЕ
145;ИЗПРАВИ СЕ БГ;ИЗПРАВИ СЕ БЪЛГАРИЯ
145;ИЗПРАВИ СЕ БГ;ИЗПРАВИ СЕ МУТРИ ВЪН
145;ИЗПРАВИ СЕ БГ;НИЕ ИДВАМЕ
145;ИЗПРАВИ СЕ БГ;СОЛИДАРНА БЪЛГАРИЯ
145;ИЗПРАВИ СЕ БГ;ЕДИННА НАРОДНА ПАРТИЯ
150;ВЕЛИЧИЕ;ВЕЛИЧИЕ
155;ВМРО;ВМРО
155;ВМРО;ВМРО БЪЛГАРСКО НАЦИОНАЛНО ДВИЖЕНИЕ
155;ВМРО;СВОБОДА
160;ПРОДЪЛЖАВАМЕ ПРОМЯНАТА;ПРОДЪЛЖАВАМЕ ПРОМЯНАТА
165;МЕЧ;МЕЧ
170;НФСБ;НФСБ
170;НФСБ;ПАТРИОТИЧЕН ФРОНТ НФСБ БДС РАДИКАЛИ И БНДС ЦЕЛОКУПНА БЪЛГАРИЯ
170;НФСБ;ПАТРИОТИЧНА КОАЛИЦИЯ ВОЛЯ И НФСБ
170;НФСБ;БЪЛГАРСКИТЕ ПАТРИОТИ ВМРО ВОЛЯ И НФСБ
175;БНО;БНО
175;БНО;БЪЛГАРСКО НАЦИОНАЛНО ОБЕДИНЕНИЕ
180;БЪЛГАРСКИ ВЪЗХОД;БЪЛГАРСКИ ВЪЗХОД
185;РЕПУБЛИКАНЦИ ЗА БЪЛГАРИЯ;РЕПУБЛИКАНЦИ ЗА БЪЛГАРИЯ
185;РЕПУБЛИКАНЦИ ЗА БЪЛГАРИЯ;КП СВОБОДНИ ИЗБИРАТЕЛИ РБ ССД И ЗС
190;РУСОФИЛИ И КОМУНИСТИ;РУСОФИЛИ И КОМУНИСТИ
190;РУСОФИЛИ И КОМУНИСТИ;КОАЛИЦИЯ НЕУТРАЛНА БЪЛГАРИЯ АТАКА РУСОФИЛИ КОМУНИСТИ
190;РУСОФИЛИ И КОМУНИСТИ;КОАЛИЦИЯ НЕУТРАЛНА БЪЛГАРИЯ РУСОФИЛИ И КОМУНИСТИ
