rik_code;rik_name;district;district_latin
01;Благоевград;Благоевград;Blagoevgrad
02;Бургас;Бургас;Burgas
03;Варна;Варна;Varna
04;Велико Търново;Велико Търново;Veliko Tarnovo
05;Видин;Видин;Vidin
06;Враца;Враца;Vratsa
07;Габрово;Габрово;Gabrovo
08;Добрич;Добрич;Dobrich
09;Кърджали;Кърджали;Kardzhali
10;Кюстендил;Кюстендил;Kyustendil
11;Ловеч;Ловеч;Lovech
12;Монтана;Монтана;Montana
13;Пазарджик;Пазарджик;Pazardzhik
14;Перник;Перник;Pernik
15;Плевен;Плевен;Pleven
16;Пловдив;Пловдив;Plovdiv
17;Пловдив Област;Пловдив;Plovdiv
18;Разград;Разград;Razgrad
19;Русе;Русе;Ruse
20;Силистра;Силистра;Silistra
21;Сливен;Сливен;Sliven
22;Смолян;Смолян;Smolyan
23;София 23 МИР;София;Sofia
24;София 24 МИР;София;Sofia
25;София 25 МИР;София;Sofia
26;София Област;София;Sofia
27;Стара Загора;Стара Загора;Stara Zagora
28;Търговище;Търговище;Targovishte
29;Хасково;Хасково;Haskovo
30;Шумен;Шумен;Shumen
31;Ямбол;Ямбол;Yambol
32;Извън страната;Извън страната;Izvan stranata
