party_name;E20210404_machine_votes;E20210404_paper_votes;E20210404_total_votes;E20210711_machine_votes;E20210711_paper_votes;E20210711_total_votes;E20211114_machine_votes;E20211114_paper_votes;E20211114_total_votes;E20221002_machine_votes;E20221002_paper_votes;E20221002_total_votes;E20230402_machine_votes;E20230402_paper_votes;E20230402_total_votes;E20240609_machine_votes;E20240609_paper_votes;E20240609_total_votes;E20241027_machine_votes;E20241027_paper_votes;E20241027_total_votes
АБВ;4514;10284;14798;;;;;;;;;;;;;;;;;;
АЛИАНС ЗА ПРАВА И СВОБОДИ АПС;;;;;;;;;;;;;;;;;;;29595;152658;182253
АТАКА;3175;12488;15663;11416;1169;12585;10904;1249;12153;6737;856;7593;;;;;;;1080;2885;3965
БЛАГОДЕНСТВИЕ ОБЕДИНЕНИЕ ГРАДИВНОСТ;341;1246;1587;;;;1362;361;1723;;;;;;;;;;;;
БНО;30640;63877;94517;;;;2175;293;2468;1552;119;1671;;;;356;564;920;;;
БРИГАДА;;;;2049;138;2187;884;267;1151;;;;;;;;;;530;651;1181
БСДД БЪЛГАРСКИ СЪЮЗ ЗА ДИРЕКТНА ДЕМОКРАЦИЯ;;;;;;;5410;484;5894;5509;365;5874;1575;942;2517;368;578;946;;;
БСДД ДИРЕКТНА ДЕМОКРАЦИЯ;;;;;;;;;;;;;;;;;;;735;959;1694
БСП ЗА БЪЛГАРИЯ;122724;357430;480154;325086;40609;365695;231834;35983;267817;204336;28622;232958;111191;114758;225949;41985;109575;151560;;;
БСП ОБЕДИНЕНА ЛЕВИЦА;;;;;;;;;;;;;;;;;;;61380;123023;184403
БТР БЪЛГАРИЯ НА ТРУДА И РАЗУМА;;;;3618;330;3948;;;;2460;176;2636;;;;;;;447;997;1444
БУЛГАРИ;;;;;;;;;;;;;;;;;;;786;951;1737
БЪЛГАРСКА ПРОГРЕСИВНА ЛИНИЯ;1132;2619;3751;;;;1293;205;1498;;;;;;;;;;;;
БЪЛГАРСКА СОЦИАЛДЕМОКРАЦИЯ ЕВРОЛЕВИЦА;;;;;;;12626;1084;13710;4776;567;5343;1297;1337;2634;;;;;;
БЪЛГАРСКИ ВЪЗХОД;;;;;;;;;;108286;7586;115872;51066;26372;77438;5581;6741;12322;5081;5237;10318
БЪЛГАРСКИ ГЛАСЪ;;;;;;;;;;;;;;;;1346;2032;3378;;;
БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ НД;711;2191;2902;4341;349;4690;967;132;1099;1683;166;1849;1062;692;1754;491;1637;2128;911;1319;2230
БЪЛГАРСКИ СЪЮЗ ЗА ДИРЕКТНА ДЕМОКРАЦИЯ БСДД;774;2568;3342;;;;;;;;;;;;;;;;;;
БЪЛГАРСКИТЕ ПАТРИОТИ ВМРО ВОЛЯ И НФСБ;;;;78227;7568;85795;;;;;;;;;;;;;;;
БЪЛГАРСКО НАЦИОНАЛНО ОБЕДИНЕНИЕ;;;;;;;;;;;;;1431;898;2329;;;;;;
ВЕЛИЧИЕ;;;;;;;;;;;;;;;;31755;68107;99862;32823;64615;97438
ВМРО БЪЛГАРСКО НАЦИОНАЛНО ДВИЖЕНИЕ;29271;87166;116437;;;;25698;2624;28322;18266;1911;20177;;;;7842;13430;21272;;;
ВОЛЯ;;;;;;;6416;651;7067;;;;;;;;;;;;
ВЪЗРАЖДАНЕ;22084;56334;78418;74347;7800;82147;115052;12516;127568;231328;23624;254952;239378;118858;358236;113654;182261;295915;137146;188320;325466
ВЪЗРАЖДАНЕ НА ОТЕЧЕСТВОТО;3726;9455;13181;;;;;;;;;;;;;;;;;;
ВЪН ОТ ЕС И НАТО;;;;;;;;;;;;;3763;2837;6600;;;;;;
ГЕРБ СДС;124048;713730;837778;575538;66627;642165;529918;66538;596456;573088;61539;634627;289643;380390;670033;142770;387888;530658;191977;450996;642973
ГЛАС НАРОДЕН;2980;5330;8310;4325;416;4741;10704;842;11546;5772;425;6197;4126;1438;5564;3200;3360;6560;4346;2952;7298
